,created_at,text,lang,timestamp_ms,preprocessed,lemma stop
186,Mon Nov 08 23:49:07 +0000 2021,"@mishacollins @PBS @Roadfood123 @GoldPeak @Ally Me, making notes for the ultimate road trip. https://t.co/tKj4L6Pbef",en,1636415347665, me making notes for the ultimate road trip ,make note ultimate road trip
194,Tue Nov 09 02:41:33 +0000 2021,"@queenRobina @Roadfood123 @mishacollins Apparently for no one, as usual we are crashers 🙈",en,1636425693659, apparently for no one as usual we are crashers ,apparently one usual crashers
198,Tue Nov 09 07:17:46 +0000 2021,".@mishacollins, food &amp; road tripping across the states? My dream holiday!",en,1636442266658, food amp road tripping across the states my dream holiday ,food amp road trip across state dream holiday
203,Tue Nov 09 15:36:45 +0000 2021,"@mishacollins @PBS @Roadfood123 @GoldPeak @Ally @mishacollins Good luck to you, my sweet Cas😀
Dear Misha, you give me great pleasure and huge happiness with your heartfelt impressive incredibly emotional expressive play play. Thank you! ❤️
So, I'm looking forward to new culinary episodes and delicious recipes.",en,1636472205665, good luck to you my sweet cas dear misha you give me great pleasure and huge happiness with your heartfelt impressive incredibly emotional expressive play play thank you so i m looking forward to new culinary episodes and delicious recipes ,good luck sweet cas dear misha give great pleasure huge happiness heartfelt impressive incredibly emotional expressive play play thank look forward new culinary episodes delicious recipes
206,Tue Nov 09 18:29:27 +0000 2021,@mishacollins @therealKripke @Roadfood123 OMG. Cute❤,en,1636482567663, omg cute ,omg cute
213,Tue Nov 09 20:02:17 +0000 2021,It’s my birthday guys!!! Thank you @GISH and @mishacollins for making my day 10 times more amazing!! https://t.co/F3qBhyQhDp,en,1636488137662,it s my birthday guys thank you and for making my day 10 times more amazing ,birthday guy thank make day 10 time amaze
216,Tue Nov 09 20:40:36 +0000 2021,@castielfanboy @GISH @mishacollins happy birthday!,en,1636490436664, happy birthday ,happy birthday
221,Wed Nov 10 05:13:30 +0000 2021,@ortegolauren The colour of the sky post was always a treat bc u never know if it’s misha collins at the end or if it’s the original post,en,1636521210665, the colour of the sky post was always a treat bc u never know if it s misha collins at the end or if it s the original post,colour sky post always treat bc u never know misha collins end original post
229,Wed Nov 10 17:13:50 +0000 2021,@Nicole11605183 @Arosie143 @brittshea28 @SjSrwillis06 @GRITSSPNFAM1 @GF0911 @TXTransplant45 @suebsg9 @fredsfam @Angiebear333 @ManuelaEffrena @Castiels_bee_ @JensenAckles @jarpad @mishacollins Good morning beautiful ❤️,en,1636564430665, good morning beautiful ,good morning beautiful
234,Wed Nov 10 19:05:46 +0000 2021,#mishacollins I miss him all of him https://t.co/DdA5Z0qBW2,en,1636571146661, i miss him all of him ,miss
248,Thu Nov 11 23:07:34 +0000 2021,@bearbubb Misha Collins https://t.co/ufViIV39bn,en,1636672054663, misha collins ,misha collins
249,Fri Nov 12 01:41:39 +0000 2021,"@cw_spn S1E13 Route 666 Deans first love, Cassie. Deans last love, Cass. Coincidence??? I think not!!! Lol @jarpad @JensenAckles @mishacollins",en,1636681299659, s1e13 route 666 deans first love cassie deans last love cass coincidence i think not lol ,s1e13 route 666 deans first love cassie deans last love cass coincidence think lol
254,Fri Nov 12 13:38:09 +0000 2021,@TVGuide #Supernatural cast interviews and outtakes 11/9/2020 @jarpad @JensenAckles @mishacollins @Alex8Calvert https://t.co/HBSRlcD6QR,en,1636724289666, cast interviews and outtakes 11 9 2020 ,cast interview outtakes 11 9 2020
255,Fri Nov 12 13:47:00 +0000 2021,@MionaShulesLove @mishacollins @dicksp8jr @RachelMiner1 @Omundson so happy to see this. oh my god.,en,1636724820657, so happy to see this oh my god ,happy see oh god
256,Fri Nov 12 14:01:22 +0000 2021,"@mishacollins,thank you for being so graciously engaged with all of us lately. VERY cool.I feel honored to support you and help better this world in any small way possible with this incredible family. #SomeThingsIStillCantTellYou https://t.co/JYNV3VGEEC @Roadfood123 #WhereIsMisha https://t.co/XZ2BcaNCKv",en,1636725682660, thank you for being so graciously engaged with all of us lately very cool i feel honored to support you and help better this world in any small way possible with this incredible family ,thank graciously engage us lately cool feel honor support help better world small way possible incredible family
258,Fri Nov 12 17:19:10 +0000 2021,Friendly reminder that this picture of Misha Collins exists ❤️ https://t.co/ucNJDIsjjp,en,1636737550665,friendly reminder that this picture of misha collins exists ,friendly reminder picture misha collins exist
259,Fri Nov 12 17:46:02 +0000 2021,@heyDe__ @elegnome @Roadfood123 @mishacollins @PBS Don’t stop but share your talents,en,1636739162657, don t stop but share your talents,stop share talents
262,Fri Nov 12 20:55:43 +0000 2021,"Please retweet, lets make this crash the internet
https://t.co/XTnUVg5bBG

#AGift4Misha
@mishacollins",en,1636750543664,please retweet lets make this crash the internet ,please retweet let make crash internet
263,Fri Nov 12 20:58:00 +0000 2021,Exactly! #agift4misha #globalloveattack @mishacollins,en,1636750680661,exactly ,exactly
